makanan ,kalori
makanan pokok Jagung rebus ,90.2
makanan pokok Kentang rebus ,166
makanan pokok Ketan Putih ,217
makanan pokok Ketupat ,32
makanan pokok Lontong ,38
makanan pokok Nasi Putih ,175
makanan pokok Nasi Putih Kentucky,349
makanan pokok Roti Tawar Serat Tinggi,149
makanan pokok Singkong Rebus,146
makanan pokok Talas Rebus,98
makanan pokok Ubi Rebus,125
makanan pokok Bihun Goreng,296
makanan pokok Bubur Ayam,165
makanan pokok Bubur Sum-sum,178
makanan pokok Kentang Goreng,211
makanan pokok Mie Goreng,321
makanan pokok Nasi Goreng,267
makanan pokok Soun Goreng,263
makanan pokok Spaghetti,642
makanan pokok Tape Singkong,260
makanan pokok Bubur,44
makanan pokok Crakers,229
makanan pokok Makaroni,91
makanan pokok Mie Instant,168
makanan pokok Nasi Tim,88
makanan pokok Nasi Uduk,506
makanan pokok Roti Tawar,128
makanan siap saji Asinan ,208
makanan siap saji Toge Goreng ,243
makanan siap saji Gado - Gado ,295
makanan siap saji Ketoprak,153
makanan siap saji Pempek,384
makanan siap saji Rawon,331
makanan siap saji Soto Ayam,101
makanan siap saji Soto Padang,127
makanan siap saji Tongseng,331
makanan siap saji Hamburger,257
makanan siap saji Kerupuk Palembang,168
makanan siap saji Kerupuk Udang,72
makanan siap saji Mie Bakso,302
makanan siap saji Nasi Tim Ayam,588
makanan siap saji Pizza,163
makanan siap saji Sate Kambing,729
makanan siap saji Sayur Krecek,249
makanan siap saji Siomay,361
makanan siap saji Soto Betawi,135
makanan siap saji Soto Makasar,525
makanan siap saji Soto Sulung,86
makanan lauk Arsik,94.05
makanan lauk Ayam Panggang Bumbu Kuning,129.4
makanan lauk Ayam Panggang,164.3
makanan lauk Daging Panggang,150
makanan lauk Ikan Mas Pepes,143.5
makanan lauk Sambal Goreng Tempe,116
makanan lauk Telur Asin Rebus,138
makanan lauk Telur Ayam Rebus,97
makanan lauk Ati Ayam Goreng,98
makanan lauk Ayam Pop,265
makanan lauk Bakso Daging Sapi,260
makanan lauk Empal Daging,147
makanan lauk Ikan Bandeng Goreng,180.7
makanan lauk Ikan Baronang Goreng,107.5
makanan lauk Ikan Bawal Goreng,113.3
makanan lauk Ikan Ekor Goreng,107.8
makanan lauk Ikan Kembung Goreng,87.65
makanan lauk Ikan Lele Goreng,57.5
makanan lauk Ikan Patin Goreng,252.7
makanan lauk Ikan Selar Goreng,63.75
makanan lauk Ikan Tenggiri Goreng,85.3
makanan lauk Ikan Teri Goreng,66
makanan lauk Ikan Tuna Goreng,110
makanan lauk Kerang Rebus,59
makanan lauk Macaroni Shootel,177
makanan lauk Tahu Bacem,147
makanan lauk Telur Mata Sapi,40
makanan lauk Tempe Bacem,157
makanan lauk Tempe Goreng,118
makanan lauk Tenggiri Bumbu Kuning,94.4
makanan lauk Udang Goreng Besar,68.25
makanan lauk Sambal Goreng Tempe Teri,276
makanan lauk Sambal Goreng Ati Sapi,200
makanan lauk Sambal Goreng Udang,123
makanan lauk Sop Sapi,227
makanan lauk Tahu Goreng,111
makanan lauk Tahu Isi,124
makanan lauk Tahu Sumedang,113
makanan lauk Telur dadar,188
sayur Acar Kuning ,53
sayur Bening Bayam,18
sayur Cah Labu Siam,41.6
sayur Sayur Asam,88
sayur Sop Ayam Kombinasi,95
sayur Sop Bayam,78
sayur Sop Kimlo,104
sayur Sop Mutiara Jagung,113
sayur Asop Oyong Misoa,106
sayur Sop Telur Putuh,116
sayur Sayur Lodeh,61
sayur Cah Jagung Putren,59
sayur Cah kacang Panjang ,72
sayur Sop Oyong Telur Puyuh,134
sayur Setup Kentang Buncis,95
sayur Tumis Buncis,52
sayur Tumis Daun Singkong,151
sayur Tumis Kc. Panjang + Jagung,118
sayur Buntil,106
sayur Gudeg,132
buah Apel ,92
buah Apel Merah,82
buah Belimbing,80
buah Duku ,81
buah Jambu Air,35.4
buah Jambu Biji,157
buah Jeruk Medan,46
buah Jeruk Pontianak,67
buah Jeruk Sunkist,40
buah Mangga Manalagi,72
buah Nanas ,104
buah Pepaya ,46
buah Pir ,80
buah Pisang Rebus,136.5
buah Salak ,63.6
buah Semangka,48
buah Alpukat ,85
buah Anggur ,60
buah Lengkeng,79
buah Melon ,46
buah Mangga Harum Manis,90
buah Pir Hijau,105
buah Pisang Ambon,74.2
buah Pisang Barangan,236
buah Pisang Mas,11
buah Pisang Raja,126
buah Sirsak ,55
buah Durian Montong,134
buah Rambutan,69
buah Sawo ,92
